rtcDate,rtcTime,gps_Lat,gps_Long,gps_AltMSL,gps_GroundSpeed,humidity_%,degC,
10/06/2024,21:19:44.82,376966339,-1217751716,134036,78,25.45,26.83,
10/06/2024,21:19:45.82,376966559,-1217751664,133188,2,25.43,26.81,
10/06/2024,21:19:46.82,376966688,-1217751634,132910,2,25.44,26.80,
10/06/2024,21:19:47.82,376966750,-1217751625,132349,6,25.40,26.79,
10/06/2024,21:19:48.82,376966792,-1217751601,133477,10,25.38,26.73,
10/06/2024,21:19:49.82,376966818,-1217751588,134027,13,25.46,26.84,
10/06/2024,21:19:50.82,376966829,-1217751581,134216,9,25.44,26.82,
10/06/2024,21:19:51.82,376966835,-1217751584,134120,7,25.42,26.80,
10/06/2024,21:19:52.83,376966838,-1217751587,134012,5,25.49,26.84,
10/06/2024,21:19:53.83,376966840,-1217751587,133918,2,25.44,26.77,
10/06/2024,21:19:54.83,376966836,-1217751576,134032,2,25.43,26.77,
10/06/2024,21:19:55.83,376966833,-1217751569,134143,5,25.48,26.72,
10/06/2024,21:19:56.83,376966829,-1217751554,134319,8,25.48,26.79,
10/06/2024,21:19:57.83,376966829,-1217751542,134537,2,25.50,26.76,
10/06/2024,21:19:58.83,376966829,-1217751533,134710,13,25.57,26.78,
10/06/2024,21:19:59.83,376966830,-1217751527,134825,9,25.52,26.77,
10/06/2024,21:20:00.84,376966830,-1217751520,134972,3,25.57,26.77,
10/06/2024,21:20:01.84,376966832,-1217751512,135068,4,25.50,26.77,
10/06/2024,21:20:02.84,376966831,-1217751507,135175,3,25.67,26.73,
10/06/2024,21:20:03.84,376966831,-1217751498,135388,4,25.62,26.78,
10/06/2024,21:20:05.11,376966831,-1217751493,135500,5,25.64,26.78,
10/06/2024,21:20:06.16,376966833,-1217751487,135639,8,25.54,26.75,
10/06/2024,21:20:07.16,376966834,-1217751482,135735,7,25.46,26.75,
10/06/2024,21:20:08.16,376966835,-1217751477,135843,5,25.46,26.77,
10/06/2024,21:20:09.16,376966837,-1217751472,135933,9,25.49,26.76,
10/06/2024,21:20:10.16,376966838,-1217751472,136070,5,25.47,26.75,
10/06/2024,21:20:12.14,376966841,-1217751462,136127,14,25.46,26.73,
10/06/2024,21:20:13.14,376966842,-1217751458,136191,1,25.44,26.73,
10/06/2024,21:20:14.14,376966844,-1217751453,136261,2,25.32,26.78,
10/06/2024,21:20:15.14,376966846,-1217751451,136305,6,25.45,26.70,
10/06/2024,21:20:16.15,376966848,-1217751449,136353,10,25.53,26.68,
10/06/2024,21:20:17.15,376966851,-1217751449,136353,10,25.41,26.72,
10/06/2024,21:20:19.12,376966854,-1217751449,136516,1,25.55,26.77,
10/06/2024,21:20:20.17,376966855,-1217751451,136585,4,25.44,26.77,
10/06/2024,21:20:21.17,376966856,-1217751452,136651,1,25.46,26.74,
10/06/2024,21:20:22.17,376966856,-1217751453,136727,5,25.55,26.75,
10/06/2024,21:20:23.18,376966857,-1217751454,136785,3,25.49,26.73,
10/06/2024,21:20:24.18,376966857,-1217751456,136845,4,25.52,26.75,
10/06/2024,21:20:25.18,376966858,-1217751457,136900,1,25.47,26.72,
10/06/2024,21:20:26.18,376966859,-1217751458,136970,11,25.52,26.75,
10/06/2024,21:20:27.18,376966862,-1217751459,137023,11,25.51,26.77,
10/06/2024,21:20:28.18,376966862,-1217751459,137066,11,25.48,26.75,
10/06/2024,21:20:29.18,376966863,-1217751460,137112,6,25.53,26.72,
10/06/2024,21:20:30.18,376966864,-1217751461,137143,9,25.51,26.77,
10/06/2024,21:20:31.19,376966866,-1217751462,137190,4,25.55,26.73,
10/06/2024,21:20:32.19,376966867,-1217751461,137233,6,25.48,26.76,
10/06/2024,21:20:33.19,376966868,-1217751459,137292,4,25.52,26.71,
10/06/2024,21:20:34.19,376966868,-1217751457,137350,8,25.53,26.71,
10/06/2024,21:20:35.19,376966868,-1217751455,137377,5,25.45,26.71,
10/06/2024,21:20:36.19,376966867,-1217751453,137408,9,25.60,26.78,
10/06/2024,21:20:37.19,376966866,-1217751450,137453,28,25.65,26.78,
10/06/2024,21:20:38.20,376966866,-1217751446,137493,516,25.58,26.75,
10/06/2024,21:20:39.20,376966831,-1217751444,137499,927,25.87,26.75,
10/06/2024,21:20:40.20,376966758,-1217751439,137636,1598,25.80,26.77,
10/06/2024,21:20:41.20,376966632,-1217751430,137665,1512,25.73,26.78,
10/06/2024,21:20:42.20,376966490,-1217751432,137717,1648,25.66,26.71,
10/06/2024,21:20:43.20,376966347,-1217751464,137805,1284,25.58,26.77,
10/06/2024,21:20:44.20,376966238,-1217751540,137944,148,25.66,26.79,
10/06/2024,21:20:45.20,376966205,-1217751577,137945,140,25.55,26.76,
10/06/2024,21:20:46.21,376966208,-1217751576,137958,1495,25.53,26.79,
10/06/2024,21:20:47.21,376966248,-1217751466,137970,2712,25.62,26.73,
10/06/2024,21:20:48.21,376966268,-1217751206,138030,3712,25.63,26.77,
10/06/2024,21:20:49.21,376966198,-1217750836,138336,4652,25.58,26.77,
10/06/2024,21:20:50.21,376965990,-1217750424,138508,5261,25.62,26.81,
10/06/2024,21:20:51.21,376965646,-1217750057,138612,5480,25.60,26.69,
10/06/2024,21:20:52.21,376965232,-1217749737,138624,4305,25.71,26.61,
10/06/2024,21:20:53.21,376964884,-1217749450,138641,5883,25.86,26.50,
10/06/2024,21:20:54.22,376964551,-1217749011,138715,6587,25.89,26.46,
10/06/2024,21:20:55.22,376964273,-1217748386,138848,6655,26.00,26.44,
10/06/2024,21:20:56.22,376964068,-1217747683,138869,6655,25.96,26.52,
10/06/2024,21:20:57.22,376964048,-1217746213,138682,7220,25.97,26.54,
10/06/2024,21:20:58.22,376964526,-1217745654,138453,7763,26.05,26.58,
10/06/2024,21:20:59.22,376965203,-1217745519,138276,7938,26.00,26.61,
10/06/2024,21:21:00.22,376965203,-1217745519,138333,8239,25.89,26.65,
10/06/2024,21:21:03.13,376967388,-1217745728,138398,7282,25.90,26.58,
10/06/2024,21:21:04.13,376968066,-1217745794,138398,6147,25.88,26.60,
10/06/2024,21:21:06.10,376969262,-1217745877,138302,5005,25.88,26.65,
10/06/2024,21:21:07.16,376969743,-1217745897,138353,3933,25.75,26.63,
10/06/2024,21:21:08.16,376970125,-1217745912,138343,3142,25.90,26.63,
10/06/2024,21:21:09.16,376970429,-1217745919,138387,3005,25.73,26.66,
10/06/2024,21:21:10.16,376970700,-1217745942,138491,4150,25.81,26.67,
10/06/2024,21:21:11.16,376971042,-1217745963,138474,4150,25.65,26.71,
10/06/2024,21:21:12.16,376972022,-1217746053,138452,6027,25.80,26.73,
10/06/2024,21:21:13.16,376972568,-1217746138,138374,6164,25.79,26.82,
10/06/2024,21:21:14.16,376973100,-1217746231,138239,5878,25.74,26.82,
10/06/2024,21:21:15.17,376973596,-1217746312,138066,5445,25.81,26.88,
10/06/2024,21:21:16.17,376974042,-1217746384,137988,4804,25.91,26.90,
10/06/2024,21:21:17.17,376974421,-1217746437,137937,3997,26.20,26.93,
10/06/2024,21:21:18.17,376974746,-1217746401,137909,3504,25.95,27.02,
10/06/2024,21:21:19.17,376974998,-1217746227,137925,3180,25.76,27.05,
10/06/2024,21:21:20.17,376975173,-1217745869,138002,4059,25.76,27.09,
10/06/2024,21:21:21.17,376975273,-1217745314,138089,5488,25.55,27.15,
10/06/2024,21:21:22.17,376975310,-1217744568,138129,7075,25.43,27.14,
10/06/2024,21:21:23.17,376975328,-1217743697,138178,7947,25.38,27.25,
10/06/2024,21:21:24.18,376975354,-1217742791,138264,8025,25.51,27.27,
10/06/2024,21:21:25.18,376975388,-1217741935,138302,7372,25.34,27.30,
10/06/2024,21:21:26.18,376975418,-1217741201,138379,6090,25.44,27.36,
10/06/2024,21:21:27.18,376975453,-1217740613,138456,4817,25.47,27.38,
10/06/2024,21:21:28.18,376975487,-1217740192,138507,3274,25.40,27.48,
10/06/2024,21:21:29.18,376975510,-1217739923,138530,1999,25.38,27.46,
10/06/2024,21:21:30.18,376975522,-1217739790,138527,827,25.33,27.52,
10/06/2024,21:21:31.18,376975524,-1217739750,138520,143,25.21,27.42,
10/06/2024,21:21:32.19,376975524,-1217739746,138509,7,25.12,27.37,
10/06/2024,21:21:33.19,376975523,-1217739746,138502,4,25.13,27.39,
10/06/2024,21:21:34.19,376975523,-1217739746,138504,6,25.13,27.40,
10/06/2024,21:21:35.19,376975525,-1217739725,138517,285,25.34,27.42,
10/06/2024,21:21:36.19,376975535,-1217739611,138534,1329,25.19,27.40,
10/06/2024,21:21:37.19,376975555,-1217739385,138546,2307,25.29,27.49,
10/06/2024,21:21:38.19,376975580,-1217739093,138575,2716,25.30,27.46,
10/06/2024,21:21:39.19,376975603,-1217738810,138645,2422,25.24,27.50,
10/06/2024,21:21:40.20,376975616,-1217738637,138676,1158,25.03,27.48,
10/06/2024,21:21:41.20,376975618,-1217738602,138674,48,24.96,27.49,
10/06/2024,21:21:42.20,376975619,-1217738575,138646,366,25.03,27.48,
10/06/2024,21:21:43.20,376975636,-1217738357,138686,2617,25.05,27.56,
10/06/2024,21:21:44.20,376975675,-1217737868,138738,5069,24.98,27.67,
10/06/2024,21:21:45.20,376975726,-1217737163,138837,6766,25.03,27.69,
10/06/2024,21:21:46.20,376975788,-1217736274,138982,8349,24.90,27.61,
10/06/2024,21:21:47.20,376975858,-1217735226,139083,9684,25.00,27.58,
10/06/2024,21:21:48.21,376975934,-1217734054,139028,10662,24.97,27.56,
10/06/2024,21:21:49.21,376976033,-1217732786,138986,11503,25.12,27.50,
10/06/2024,21:21:50.21,376976196,-1217731419,139046,12506,25.11,27.45,
10/06/2024,21:21:51.21,376976405,-1217729961,139135,13319,25.05,27.34,
10/06/2024,21:21:52.21,376976640,-1217728439,139275,13840,25.22,27.26,
10/06/2024,21:21:53.21,376976906,-1217726854,139451,14484,25.38,27.15,
10/06/2024,21:21:54.21,376977197,-1217725226,139652,14825,25.53,27.00,
10/06/2024,21:21:55.21,376977197,-1217721852,139788,15630,25.51,26.87,
10/06/2024,21:21:57.09,376977811,-1217720104,139802,15919,25.50,26.79,
10/06/2024,21:21:58.14,376978135,-1217718320,139955,16321,25.41,26.77,
10/06/2024,21:21:59.14,376978472,-1217716481,140061,16845,25.30,26.67,
10/06/2024,21:22:00.14,376978822,-1217716481,140522,17569,24.91,26.47,
10/06/2024,21:22:02.12,376979582,-1217712690,140739,17849,24.75,26.24,
10/06/2024,21:22:03.17,376979981,-1217710741,140937,17995,24.64,26.03,
10/06/2024,21:22:04.17,376980381,-1217708769,141107,18071,24.64,25.94,
10/06/2024,21:22:05.17,376980777,-1217706785,141410,18013,24.79,25.88,
10/06/2024,21:22:06.17,376981163,-1217704798,141673,17297,24.79,25.97,
10/06/2024,21:22:07.18,376981532,-1217702868,141888,16642,24.73,25.94,
10/06/2024,21:22:08.18,376981888,-1217701011,142106,16240,24.80,25.90,
10/06/2024,21:22:09.18,376982235,-1217699208,142321,15900,24.75,25.80,
10/06/2024,21:22:10.18,376982578,-1217697446,142468,15812,24.91,25.84,
10/06/2024,21:22:11.18,376982920,-1217695703,142573,15755,25.01,25.68,
10/06/2024,21:22:12.18,376983264,-1217693968,142714,15724,24.97,25.54,
10/06/2024,21:22:13.18,376983599,-1217692235,142968,15641,25.02,25.42,
10/06/2024,21:22:14.18,376983933,-1217690509,143217,15642,25.21,25.53,
10/06/2024,21:22:15.19,376984259,-1217688784,143428,15815,25.23,25.46,
10/06/2024,21:22:16.19,376984586,-1217687045,143644,15982,25.37,25.45,
10/06/2024,21:22:17.19,376984910,-1217685285,143837,15815,25.44,25.43,
10/06/2024,21:22:18.19,376985201,-1217683525,143960,15472,25.63,25.44,
10/06/2024,21:22:19.19,376985437,-1217681784,143918,15193,25.62,25.40,
10/06/2024,21:22:20.19,376985600,-1217680065,143734,15135,25.71,25.34,
10/06/2024,21:22:21.19,376985691,-1217678351,143578,15104,25.81,25.33,
10/06/2024,21:22:22.19,376985745,-1217676638,143440,15059,25.83,25.21,
10/06/2024,21:22:23.19,376985806,-1217674931,143259,15054,25.89,25.13,
10/06/2024,21:22:24.19,376985903,-1217673230,143182,15038,25.91,25.04,
10/06/2024,21:22:25.19,376986045,-1217671535,143081,15050,26.01,24.90,
10/06/2024,21:22:26.20,376986226,-1217669844,142978,15314,26.10,24.78,
10/06/2024,21:22:27.20,376986441,-1217668138,143063,15460,26.22,24.75,
10/06/2024,21:22:28.20,376986692,-1217666420,143170,15505,26.35,24.78,
10/06/2024,21:22:29.20,376986980,-1217664701,143302,15602,26.41,24.74,
10/06/2024,21:22:30.20,376987312,-1217662985,143595,15734,26.37,24.64,
10/06/2024,21:22:31.20,376987656,-1217661260,143595,14797,26.18,24.17,
10/06/2024,21:22:33.18,376988382,-1217657932,144132,13649,26.03,24.01,
10/06/2024,21:22:34.18,376988713,-1217656403,144265,12848,25.82,23.91,
10/06/2024,21:22:35.18,376989017,-1217654971,144430,11782,25.71,24.25,
10/06/2024,21:22:36.18,376989293,-1217653644,144605,10391,26.09,24.52,
10/06/2024,21:22:37.18,376989541,-1217652459,144679,9188,26.33,24.62,
10/06/2024,21:22:38.18,376989772,-1217651416,144728,8934,26.76,24.81,
10/06/2024,21:22:39.18,376989999,-1217650436,144799,8192,26.74,24.93,
10/06/2024,21:22:40.18,376990213,-1217649521,144851,6974,26.73,24.90,
10/06/2024,21:22:41.18,376990403,-1217648725,144860,5438,26.54,24.97,
10/06/2024,21:22:42.18,376990559,-1217648087,144866,3959,26.10,24.94,
10/06/2024,21:22:43.19,376990677,-1217647611,144864,2977,25.91,24.89,
10/06/2024,21:22:44.19,376990765,-1217647258,144880,2059,25.84,24.84,
10/06/2024,21:22:45.19,376990829,-1217647007,144869,1931,25.83,24.93,
10/06/2024,21:22:46.19,376990887,-1217646797,144879,4004,25.61,24.92,
10/06/2024,21:22:47.19,376990982,-1217646434,144884,6744,25.66,25.07,
10/06/2024,21:22:48.19,376991149,-1217645798,144900,9298,25.71,25.04,
10/06/2024,21:22:49.19,376991372,-1217644874,144890,11559,25.56,24.99,
10/06/2024,21:22:50.19,376991637,-1217643687,144805,13179,25.50,24.97,
10/06/2024,21:22:51.19,376991935,-1217642302,144687,14438,25.78,24.96,
10/06/2024,21:22:52.19,376992279,-1217640772,144651,15598,25.91,24.97,
10/06/2024,21:22:53.19,376992665,-1217639116,144586,16451,25.95,24.98,
10/06/2024,21:22:54.19,376993090,-1217637363,144549,16321,26.18,25.13,
10/06/2024,21:22:55.19,376993521,-1217635592,144508,16118,26.65,25.14,
10/06/2024,21:22:56.19,376993938,-1217633838,144484,16408,27.00,25.26,
10/06/2024,21:22:57.19,376994349,-1217632065,144517,16434,26.88,25.33,
10/06/2024,21:22:58.20,376994760,-1217630279,144661,16346,26.87,25.25,
10/06/2024,21:22:59.20,376995173,-1217628501,144886,16244,26.77,25.12,
10/06/2024,21:23:00.20,376995585,-1217626733,144918,16326,26.66,25.19,
10/06/2024,21:23:01.20,376996011,-1217624967,145119,16256,26.63,25.24,
10/06/2024,21:23:02.20,376996424,-1217623200,145323,15964,26.62,25.30,
10/06/2024,21:23:03.20,376996793,-1217621443,145467,15546,26.46,25.40,
10/06/2024,21:23:04.20,376997114,-1217619715,145617,15241,26.47,25.44,
10/06/2024,21:23:05.20,376997422,-1217618022,145748,14708,26.56,25.38,
10/06/2024,21:23:06.20,376997771,-1217616397,145830,14289,26.41,25.40,
10/06/2024,21:23:07.20,376998178,-1217614848,145950,13926,26.42,25.30,
10/06/2024,21:23:08.20,376998613,-1217613357,146042,12799,26.47,25.33,
10/06/2024,21:23:09.20,376999034,-1217611968,146122,11451,26.42,25.29,
10/06/2024,21:23:10.20,376999422,-1217610719,146196,10268,26.62,25.25,
10/06/2024,21:23:11.20,376999773,-1217609602,146239,8574,26.70,25.09,
10/06/2024,21:23:12.20,377000043,-1217608634,146313,6781,26.59,24.95,
10/06/2024,21:23:13.20,377000132,-1217607820,146441,5593,26.42,24.91,
10/06/2024,21:23:14.20,377000010,-1217607180,146548,6117,26.34,24.89,
10/06/2024,21:23:15.20,376999677,-1217606668,146725,7302,26.16,24.82,
10/06/2024,21:23:16.21,376999158,-1217606245,146990,8977,26.13,24.75,
10/06/2024,21:23:17.21,376998477,-1217605821,147365,10638,26.11,24.68,
10/06/2024,21:23:18.21,376997653,-1217605338,147943,11384,26.05,24.64,
10/06/2024,21:23:19.21,376996753,-1217604788,148513,11684,26.11,24.58,
10/06/2024,21:23:20.21,376995845,-1217604154,149098,12259,26.14,24.48,
10/06/2024,21:23:21.21,376994944,-1217603394,149714,12560,26.10,24.45,
10/06/2024,21:23:22.21,376994076,-1217602504,150464,12329,26.32,24.39,
10/06/2024,21:23:23.21,376993274,-1217601533,151291,12371,26.38,24.32,
10/06/2024,21:23:24.21,376992523,-1217600505,152277,12603,26.37,24.27,
10/06/2024,21:23:25.21,376991795,-1217599425,153269,12739,26.43,24.20,
10/06/2024,21:23:26.21,376991088,-1217598295,154289,12771,26.64,24.17,
10/06/2024,21:23:27.21,376990407,-1217597129,155342,12512,26.95,24.16,
10/06/2024,21:23:28.21,376989751,-1217595967,156374,12298,27.09,24.11,
10/06/2024,21:23:29.21,376989121,-1217594812,157391,12093,27.24,23.96,
10/06/2024,21:23:30.21,376988523,-1217593662,158430,12098,27.18,23.72,
10/06/2024,21:23:31.21,376987933,-1217592512,159403,12203,27.10,23.66,
10/06/2024,21:23:32.21,376987365,-1217591335,160396,12464,27.43,23.74,
10/06/2024,21:23:33.21,376986836,-1217590103,161519,12644,27.81,23.85,
10/06/2024,21:23:34.21,376986318,-1217588832,162572,12710,28.08,23.85,
10/06/2024,21:23:35.21,376985824,-1217587533,163694,12837,28.38,23.93,
10/06/2024,21:23:36.21,376985357,-1217586205,164810,12951,28.67,24.06,
10/06/2024,21:23:37.21,376984896,-1217584861,165939,13048,28.62,24.35,
10/06/2024,21:23:38.21,376984421,-1217583511,167063,13048,28.82,24.67,
10/06/2024,21:23:39.21,376983477,-1217580837,169482,12793,28.87,24.89,
10/06/2024,21:23:40.21,376982991,-1217579499,170514,13047,28.78,25.02,
10/06/2024,21:23:41.21,376982471,-1217578129,171489,13546,28.57,25.11,
10/06/2024,21:23:42.21,376981904,-1217576744,172328,13811,28.49,25.14,
10/06/2024,21:23:43.21,376981312,-1217575359,173100,13915,28.46,25.19,
10/06/2024,21:23:44.21,376980685,-1217573992,173773,13955,28.37,25.14,
10/06/2024,21:23:45.22,376980028,-1217572661,174359,13746,28.36,25.17,
10/06/2024,21:23:46.22,376979359,-1217571376,174813,13458,28.55,25.17,
10/06/2024,21:23:47.22,376978672,-1217570104,175159,13583,28.62,25.33,
10/06/2024,21:23:48.22,376977970,-1217568833,175449,13648,28.74,25.40,
10/06/2024,21:23:49.22,376977272,-1217567551,175587,13746,28.76,25.43,
10/06/2024,21:23:50.22,376976569,-1217566248,175646,13971,28.65,25.53,
10/06/2024,21:23:51.22,376975857,-1217564912,175419,14276,28.64,25.62,
10/06/2024,21:23:52.22,376975152,-1217563560,175158,14282,28.59,25.65,
10/06/2024,21:23:53.22,376974444,-1217562201,174916,14365,28.51,25.70,
10/06/2024,21:23:54.22,376973734,-1217560822,174607,14548,28.56,25.72,
10/06/2024,21:23:55.22,376973023,-1217559410,174278,14830,28.55,25.81,
10/06/2024,21:23:56.22,376972308,-1217557982,173943,14914,28.44,25.80,
10/06/2024,21:23:57.22,376971578,-1217556553,173628,15029,28.33,25.88,
10/06/2024,21:23:58.22,376970841,-1217555133,173361,14943,28.27,25.83,
10/06/2024,21:23:59.22,376970132,-1217553739,173243,14493,28.29,25.91,
10/06/2024,21:24:00.22,376969447,-1217552361,172996,14258,28.10,25.87,
10/06/2024,21:24:01.22,376968809,-1217550982,172620,13986,28.03,25.88,
10/06/2024,21:24:02.22,376968222,-1217549585,172296,13909,28.04,25.92,
10/06/2024,21:24:03.22,376967690,-1217548172,171895,13749,28.01,25.91,
10/06/2024,21:24:04.22,376967205,-1217546768,171329,13371,28.06,25.87,
10/06/2024,21:24:05.22,376966764,-1217545405,170755,12777,28.06,25.85,
10/06/2024,21:24:06.22,376966374,-1217544112,170183,11923,28.24,25.87,
10/06/2024,21:24:07.22,376966017,-1217542909,169651,11077,28.47,25.80,
10/06/2024,21:24:08.22,376965681,-1217541809,169114,10048,28.52,25.73,
10/06/2024,21:24:09.22,376965385,-1217540855,168722,8632,28.79,25.73,
10/06/2024,21:24:10.22,376965120,-1217540092,168347,6746,28.82,25.64,
10/06/2024,21:24:11.22,376965120,-1217539203,167829,3265,29.01,25.71,
10/06/2024,21:24:13.09,376964781,-1217538784,167600,4585,29.16,25.74,
10/06/2024,21:24:14.15,376964598,-1217538202,167331,6459,29.09,25.73,
10/06/2024,21:24:15.15,376964330,-1217537450,166910,8275,29.21,25.67,
10/06/2024,21:24:16.15,376963968,-1217536530,166340,9982,29.26,25.56,
10/06/2024,21:24:17.15,376963521,-1217535484,165938,11124,29.55,25.52,
10/06/2024,21:24:18.15,376963011,-1217534348,165745,11965,29.50,25.45,
10/06/2024,21:24:19.15,376962461,-1217533154,165611,12430,29.65,25.45,
10/06/2024,21:24:20.15,376961884,-1217531919,165502,12785,29.77,25.41,
10/06/2024,21:24:21.15,376961300,-1217530694,165518,12537,29.89,25.34,
10/06/2024,21:24:22.15,376960720,-1217529476,165479,12567,29.93,25.25,
10/06/2024,21:24:23.15,376960139,-1217528278,165392,12459,30.11,25.18,
10/06/2024,21:24:24.15,376959539,-1217527122,165319,12195,30.23,25.04,
10/06/2024,21:24:25.15,376958916,-1217525995,165083,11777,30.34,25.07,
10/06/2024,21:24:26.15,376958328,-1217524868,164889,11774,30.55,24.99,
10/06/2024,21:24:27.15,376957761,-1217523732,164542,11531,30.60,24.81,
10/06/2024,21:24:28.15,376957232,-1217522563,163844,11810,30.96,24.81,
10/06/2024,21:24:29.15,376956722,-1217521336,163592,12032,31.18,24.73,
10/06/2024,21:24:30.15,376956265,-1217520064,163574,12034,31.99,24.60,
10/06/2024,21:24:31.15,376955873,-1217518745,163590,12324,32.43,24.54,
10/06/2024,21:24:32.15,376955531,-1217517417,163452,12190,32.87,24.47,
10/06/2024,21:24:33.15,376955213,-1217516106,163346,11915,33.05,24.49,
10/06/2024,21:24:34.15,376954928,-1217514799,163296,11684,32.85,24.48,
10/06/2024,21:24:35.15,376954723,-1217513499,163207,11483,32.41,24.53,
10/06/2024,21:24:36.15,376954600,-1217512217,163071,11254,32.04,24.55,
10/06/2024,21:24:37.15,376954532,-1217510983,163030,10710,31.81,24.60,
10/06/2024,21:24:38.15,376954516,-1217509847,162935,9712,31.87,24.59,
10/06/2024,21:24:39.15,376954517,-1217508846,162975,8475,31.85,24.63,
10/06/2024,21:24:40.15,376954530,-1217507993,163056,7131,31.82,24.66,
10/06/2024,21:24:41.15,376954541,-1217507306,163056,5554,31.92,24.63,
10/06/2024,21:24:42.15,376954541,-1217506822,163149,3695,31.88,24.71,
10/06/2024,21:24:43.15,376954540,-1217506522,163208,2191,31.89,24.73,
10/06/2024,21:24:44.15,376954538,-1217506254,163208,2435,31.92,24.73,
10/06/2024,21:24:45.15,376954529,-1217505846,163291,4099,31.95,24.76,
10/06/2024,21:24:46.15,376954519,-1217505235,163291,5932,31.88,24.78,
10/06/2024,21:24:47.15,376954511,-1217504419,163253,7717,31.92,24.78,
10/06/2024,21:24:48.15,376954500,-1217503414,163119,9336,31.96,24.84,
10/06/2024,21:24:49.15,376954488,-1217502259,163067,10537,31.81,24.84,
10/06/2024,21:24:50.15,376954478,-1217500987,163279,11512,31.93,24.94,
10/06/2024,21:24:51.15,376954464,-1217499614,163425,12353,31.99,25.02,
10/06/2024,21:24:52.16,376954447,-1217498160,163445,13006,31.91,25.02,
10/06/2024,21:24:53.16,376954443,-1217496649,163499,13435,31.87,25.03,
10/06/2024,21:24:54.16,376954444,-1217495094,163440,13783,31.59,25.06,
10/06/2024,21:24:55.16,376954438,-1217493518,163384,13907,31.66,25.20,
10/06/2024,21:24:56.16,376954426,-1217491952,163223,13732,31.27,25.26,
10/06/2024,21:24:57.16,376954411,-1217490426,163090,13315,31.24,25.25,
10/06/2024,21:24:58.16,376954380,-1217488942,162939,13000,31.13,25.30,
10/06/2024,21:24:59.16,376954297,-1217487473,162834,13061,30.89,25.41,
10/06/2024,21:25:00.16,376954149,-1217486009,162654,13197,30.63,25.46,
10/06/2024,21:25:01.16,376953919,-1217484560,162438,13254,30.52,25.45,
10/06/2024,21:25:02.16,376953604,-1217483159,162292,13056,30.51,25.52,
10/06/2024,21:25:03.16,376953197,-1217481832,162176,12793,30.30,25.58,
10/06/2024,21:25:04.16,376952714,-1217480594,162045,12306,30.09,25.64,
10/06/2024,21:25:05.16,376952176,-1217479469,161996,11702,30.08,25.57,
10/06/2024,21:25:06.16,376951588,-1217478476,161675,10951,30.16,25.59,
10/06/2024,21:25:07.16,376950962,-1217477602,161590,10109,30.39,25.55,
10/06/2024,21:25:08.16,376950343,-1217476846,161461,9166,30.55,25.54,
10/06/2024,21:25:09.16,376949742,-1217476198,161289,8099,30.51,25.54,
10/06/2024,21:25:10.16,376949186,-1217475639,161231,6998,30.40,25.57,
10/06/2024,21:25:11.16,376948697,-1217475166,161173,5999,30.36,25.57,
10/06/2024,21:25:12.16,376948274,-1217474774,161169,5104,30.27,25.58,
10/06/2024,21:25:13.16,376947908,-1217474442,161130,4325,30.25,25.58,
10/06/2024,21:25:14.16,376947597,-1217474163,161119,3580,30.35,25.62,
10/06/2024,21:25:15.16,376947339,-1217473926,161129,3070,30.22,25.55,
10/06/2024,21:25:16.16,376947127,-1217473724,161056,2613,30.44,25.60,
10/06/2024,21:25:17.16,376946943,-1217473557,161014,2232,30.35,25.61,
10/06/2024,21:25:18.16,376946778,-1217473433,161026,1460,30.21,25.62,
10/06/2024,21:25:19.16,376946661,-1217473341,161037,1180,30.17,25.56,
10/06/2024,21:25:20.16,376946574,-1217473199,161031,2177,30.21,25.60,
10/06/2024,21:25:21.16,376946448,-1217472943,161049,4050,30.24,25.58,
10/06/2024,21:25:22.16,376946209,-1217472538,160959,6025,30.12,25.61,
10/06/2024,21:25:23.16,376945838,-1217471980,161011,8032,30.17,25.59,
10/06/2024,21:25:24.16,376945339,-1217471307,161066,9349,30.28,25.76,
10/06/2024,21:25:25.16,376944736,-1217470546,160981,10466,30.21,25.87,
10/06/2024,21:25:26.16,376944054,-1217469708,160656,11513,29.94,26.00,
10/06/2024,21:25:27.16,376943294,-1217468819,160405,12402,29.70,26.15,
10/06/2024,21:25:28.16,376942462,-1217467918,160275,13118,29.34,26.30,
10/06/2024,21:25:29.16,376941547,-1217467016,160163,13723,29.04,26.29,
10/06/2024,21:25:30.16,376940561,-1217466129,160089,14017,28.84,26.39,
10/06/2024,21:25:31.16,376939523,-1217465266,159952,14288,28.71,26.52,
10/06/2024,21:25:32.16,376938442,-1217464426,159886,14436,28.45,26.66,
10/06/2024,21:25:33.16,376937330,-1217463607,159815,14508,28.07,26.75,
10/06/2024,21:25:34.16,376936199,-1217462805,159724,14556,27.70,26.88,
10/06/2024,21:25:35.16,376935055,-1217462013,159688,14577,27.10,26.99,
10/06/2024,21:25:36.16,376933903,-1217461234,159667,14512,26.69,27.20,
10/06/2024,21:25:37.16,376932750,-1217460465,159703,14479,26.12,27.25,
10/06/2024,21:25:38.17,376931596,-1217459685,159773,14551,25.71,27.33,
10/06/2024,21:25:39.17,376930444,-1217458885,159821,14714,25.38,27.29,
10/06/2024,21:25:40.17,376929286,-1217458085,160042,14747,25.24,27.31,
10/06/2024,21:25:41.17,376928122,-1217457261,160110,14903,25.16,27.44,
10/06/2024,21:25:42.17,376926957,-1217456413,160342,15122,24.89,27.51,
10/06/2024,21:25:43.17,376925782,-1217455570,160898,14956,24.77,27.55,
